,id,file,emotion_id,emotion,phase
2620,D05E00P007S08T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P007S08T01.flac,0,Neutral,1
2621,D05E03P008S09T02,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P008S09T02.flac,3,Surprise,2
2622,D05E02P007S10T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P007S10T01.flac,2,Sadness,1
2623,D05E00P001S09T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P001S09T01.flac,0,Neutral,1
2624,D05E00P002S04T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P002S04T01.flac,0,Neutral,1
2625,D05E04P005S12T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P005S12T01.flac,4,Questioning,1
2626,D05E04P102S09T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P102S09T01.flac,4,Questioning,1
2627,D05E03P001S12T02,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P001S12T02.flac,3,Surprise,2
2628,D05E00P001S18T02,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P001S18T02.flac,0,Neutral,2
2629,D05E00P009S13T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P009S13T01.flac,0,Neutral,1
2630,D05E00P103S07T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P103S07T01.flac,0,Neutral,1
2631,D05E03P105S13T01,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P105S13T01.flac,3,Surprise,1
2632,D05E05P109S06T02,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P109S06T02.flac,5,Anger,2
2633,D05E01P101S05T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P101S05T01.flac,1,Happiness,1
2634,D05E05P006S15T02,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P006S15T02.flac,5,Anger,2
2635,D05E02P102S09T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P102S09T01.flac,2,Sadness,1
2636,D05E02P111S10T01,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P111S10T01.flac,2,Sadness,2
2637,D05E01P006S06T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P006S06T01.flac,1,Happiness,1
2638,D05E02P010S02T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P010S02T01.flac,2,Sadness,1
2639,D05E01P112S08T01,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P112S08T01.flac,1,Happiness,2
2640,D05E04P102S10T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P102S10T01.flac,4,Questioning,1
2641,D05E00P107S13T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P107S13T01.flac,0,Neutral,1
2642,D05E04P101S12T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P101S12T01.flac,4,Questioning,1
2643,D05E02P103S06T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P103S06T01.flac,2,Sadness,1
2644,D05E00P109S11T02,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P109S11T02.flac,0,Neutral,2
2645,D05E04P101S13T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P101S13T01.flac,4,Questioning,1
2646,D05E03P010S15T01,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S15T01.flac,3,Surprise,1
2647,D05E00P109S12T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P109S12T01.flac,0,Neutral,1
2648,D05E00P003S05T03,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P003S05T03.flac,0,Neutral,2
2649,D05E02P003S01T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P003S01T01.flac,2,Sadness,1
2650,D05E02P113S08T01,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P113S08T01.flac,2,Sadness,2
2651,D05E01P107S13T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P107S13T01.flac,1,Happiness,1
2652,D05E01P009S08T03,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P009S08T03.flac,1,Happiness,2
2653,D05E04P008S11T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P008S11T01.flac,4,Questioning,1
2654,D05E00P010S12T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P010S12T01.flac,0,Neutral,1
2655,D05E05P111S15T01,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P111S15T01.flac,5,Anger,2
2656,D05E01P105S12T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P105S12T01.flac,1,Happiness,1
2657,D05E02P109S16T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P109S16T01.flac,2,Sadness,1
2658,D05E03P004S12T03,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P004S12T03.flac,3,Surprise,2
2659,D05E02P009S06T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P009S06T03.flac,2,Sadness,2
2660,D05E01P101S06T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P101S06T01.flac,1,Happiness,1
2661,D05E02P010S07T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P010S07T01.flac,2,Sadness,1
2662,D05E05P001S11T02,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P001S11T02.flac,5,Anger,2
2663,D05E02P101S16T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P101S16T03.flac,2,Sadness,2
2664,D05E05P001S06T02,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P001S06T02.flac,5,Anger,2
2665,D05E01P009S17T02,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P009S17T02.flac,1,Happiness,2
2666,D05E01P113S06T02,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P113S06T02.flac,1,Happiness,2
2667,D05E02P109S09T02,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P109S09T02.flac,2,Sadness,2
2668,D05E00P101S16T03,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P101S16T03.flac,0,Neutral,2
2669,D05E04P007S07T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P007S07T01.flac,4,Questioning,1
2670,D05E00P004S12T03,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P004S12T03.flac,0,Neutral,2
